ID,URL,Name,Author,Description,Scenario,Symptoms,Security Impact,Security Related Design,"""Pernicious Kingdom""",Root cause 1,Confidence 1,Root cause 2,Confidence 2,Root cause 3,Confidence 3,Consensus Value,Stage,Jasmine root cause analysis,Jasmine Reasoning,Alexander root cause analysis,Alexander Reasoning,FH Review
798,https://cwe.mitre.org/data/definitions/798,Use of Hard Coded Credentials,Keagan,"Administrator / High Access login information is hard coded making the program vulnerable to attackers who can discover/steal the login information and utilize admin privileges maliciously.

Program requires credentials to access certain things, such as logging in to access a database, or having a special login for admin access. However, it is possible that these credentials are hard-coded in a configuration file, or they along with their verification checks are hardcoded allowing for attackers to more easily access the information. For example (if password == ""adminpassword"") kind of verfication check.","Developers are probably testing their security inadequately and not considering all the ways that a possible hard-coded authentication could be accessed.  Developers may find it hard to test for these kinds of things themselves, since if they coded the authentication, they may think of course it will be easy for them to find it but for someone else they may expect it to be harder than it actually is. ",,"read application data, gain privileges",encryption,Security Features,biased review,Medium,security culture,Medium,post completion,,overconfidence,Design,,,,,
787,https://cwe.mitre.org/data/definitions/787,Out-of-Bounds Write,Keagan,Performing some sort of action on a memory location that is outside of the buffer. Subsequent write operations can then have undefined results including rewriting / corrupting other parts of the memory allowing for attacks.," Developers don’t validate that the parameters of the function won’t cause the program to break / overflow the buffer, and don't utilize enough test cases to discover this issue. Adding on to that, sometimes omission of checking for error return values from certain functions calls leads to a buffer overflow via an unexpected parameter value. Nonetheless, a majority of these could be caught, debugged and fixed if there was adequate testing done.",,"modify memory, execute unauthorized commands, system crash, system restart, unexpected state","language selection, libraries, frameworks, environment hardening",Code Quality,rule deficiencies,Low,biased review,Medium,Forgetting Something Has Been Done,Medium,biased review,Coding,,,,,
287,https://cwe.mitre.org/data/definitions/287,Improper authentication / verification of user identity,Keagan,"Allows for unauthorized attackers to gain possibly sensitive information or execute harmful code. For example, using cookies to store relevant authentication information, and performing actions based on the values in cookies which can be altered by attackers.","Developer is unware of the importance of authenticating user, and doesn't place enough emphasis on repeatdely authenticating users before allowing them to access critical information.",,,,Input Validation and Representation,lack of knowledge,,biased review,,,,lack of knowledge,Review,,,,,
190,https://cwe.mitre.org/data/definitions/190,Integer Overflow / Wraparound,Keagan,when an integer value is incremented past its max value based depending on data type resulting in a very small or negative number. ,"More Dominant: Developers do not think it is necessary to check the result of a calculation and assume the result will always be greater after the calculation.

Less Dominant: Humans aren't used to numbers having a max value aside from infinity, so they may not consider the possibility of overflow.",,"system crash, system restart, modify memory, execute unauthorized commands, bypass protection mechanism","language selection, libraries, frameworks, input validation, build hardening",Code Quality,biased review,Medium,lack of knowledge,Low,abnormal inputs,Low,overconfidence,Review,,,,,
918,https://cwe.mitre.org/data/definitions/918,Server Side Request Forgery (SSRF),Keagan,Not sufficiently ensuring that a URL or similar request is being sent to the expected destination. Allows for possible bypassing of access controls and allows attackers to use the server to gain access to confidential content.,"Dominant: Developers are not aware of the fact that input can be passed to unexpected hosts or ports and the implications of such behavior.

Less Dominant: Improper limitation of what ports / hosts can receive URLs. Improper input sanitization of URLs is also a major cause of this.",,"read application data, execute unauthorized code, bypass protection mechanism",automated static analysis,API Abuse,biased review,Low,lack of knowledge,Low,unknown,High,lack of knowledge,Coding,,,,,
416,https://cwe.mitre.org/data/definitions/416,Use After Free,Keagan,"Reference memory, especially pointers after it has been freed causing unintended program behavior.","More Dominant: The code uses multiple pointers to places in memory and the developers mistakenly reference a similar pointer that has already been freed.

Less Dominant: Developers simply forget that they've already freed something, or may not understand that freeing should be the last step.",,"modify memory, system crash, system restart, execute unauthorized code","language selection, attack surface reduction, fuzz testing, automated static analysis",Code Quality,perceptual confusion,Medium,rule deficiencies,Low,Forgetting Something Has Been Done,Medium,perceptual confusion,Coding,,,,,
476,https://cwe.mitre.org/data/definitions/476,NULL Pointer Dereference,Keagan,"Dereferencing a pointer thought to be valid when it is actually null, can cause program crashes / exits.","More Dominant: Developers overlook the common practice to check whether or not pointers are NULL before dereferencing it.

Less Dominant: Improper implementation of synchronization mechanisms",,"system crash, system restart, execute unauthorized code, read memory, modify memory","proper locking apis, initialization, automated dynamic analysis, exception checks",Code Quality,perceptual confusion,Medium,rule deficiencies,Medium,,,rule deficiencies,Coding,,,,,
430,https://cwe.mitre.org/data/definitions/430,Deployment of Wrong Handler,Keagan,"The wrong ""handler"" is assigned to process an object. A handler is commonly a function routine or method tasked with handling a certain type of data or task.","A similar task may be successfully handled by one handler, however the task at hand although similar to that one is slightly different, thus making the handler that would typically be logical to use inadequate. For example, in most cases you hammer a nail, and screws are of similar shape/function to nails, however if you hammer a screw, it reduces its strength. More code specific examples include omitting a type check before interpretting an obejct. ",,,,Code Quality,confirmation bias,Low,rule deficiencies,Low,unknown,High,,Coding,,,,,
474,https://cwe.mitre.org/data/definitions/474,Use of Function with Inconsistent Implementations,Keagan,"Code utilizes calls to a function that has different implementations from version to version and across different OS. For example, the return values might be different, might handle the input parameters differently or in different order, might not be defined.","Developers not having the knowledge that a certain function may behave differently on different systems. Rather, it is more of an operating environment issue, and development tools directly causing the vulnerability, since I would consider function calls to be a development tool. Best example of a similar real-world comparison would be like a word meaning two different things across languages. EX: Kind means nice in English, but it means child in German.",,,,,operating environment,Medium,lack of review,Low,lack of knowledge,High,,Review,,,,,
256,https://cwe.mitre.org/data/definitions/256,Plaintext Storage of a Password,Keagan,"Password is stored in plaintext in the configuration, properties, or memory of an application, or somewhere equivalently easily accessed. Thus, any attackers who find the password which is easy in this case can gain access to critical information.

Always best practice to at least encrypt passwords in some way, or to not store them within the application they pertain to at the very least. ","Stem from the fact that developers don’t test adequately enough to discover this password vulnerability and think it's not plausible for an attacker with no prior information to do so. 

Humans also often opt for convenience over security, and storing a password in plaintext somewhere easily located is a prime example of that, I.e. writing your password down rather than memorizing it.",,,,Security Features,security culture,Medium,biased review,Low,,,,Design,,,,,
303,https://cwe.mitre.org/data/definitions/303,Incorrect Implementation of Authentication Algorithm,Keagan,"The requirements for the product dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect.","Dominant Scenario: The description of this vulnerability assumes the security requirements exist, and use of an established authentication algorithm. Thus, it is fair to assume that the developer has knowledge of the algorithm, however the implementation is incorrect or incomplete.

Not as dominant: During testing, they only performed tests that made it appear the algorithm was working correctly.",,bypass protection mechanism,"authentication errors, weak authentication",Code Quality,rule deficiencies,High,confirmation bias,Medium,,,rule deficiencies,Coding,,,,,
212,https://cwe.mitre.org/data/definitions/212,Improper Removal of Sensitive Information Before Storage or Transfer,Keagan,"Critical information within a resource is stored, transferred, or shared before being concealed / removed from the resource. Thus, the information may be available or accessed by possible attackers. Most common resources in which this is relevant include packets, messages, databases, etc.","Deleting or concealing the sensitive information may be the last step before sharing, storing or transferring the resource making it more likely to be forgotten. Kind of like not signing out of a public computer upon finishing your work. 

Not as dominant scenarios: Possible that the sensitive information was made available between a trusted group of people for ease of access reasons, but one member shared the resource outside of the group thinking the information had already been removed. Lastly, there could be a possibility that there was an attempt to remove / conceal the information however it was just done inadequately.",,"read files, read directories, read application data","separation of privileges, attack surface reduction, automated static analysis",Encapsulation,rule deficiencies,Low,post completion,Medium,miscommunication,Low,post completion,Coding,,,,,
601,https://cwe.mitre.org/data/definitions/601,URL Redirection to Untrusted Site (‘Open Redirect’),Keagan,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks. Lastly, this vulnerability stems from attackers feeding web applications abnormal/ harmful inputs."," More dominant: Certain features are not implemented to correctly validate input, or proper preventative measures such as pop up letting the user know they are being redirected to an external URL are not implemented correctly. 

Less dominant: This vulnerability may appear if it is not specified in the requirements of the web application what kind of inputs are acceptable.",,"bypass protection mechanism, gain privileges,","input validation, enforcement by conversion, attack surface reduction, firewall, manual static analysis",Input Validation and Representation,security culture,Low,unknown,Medium,rule deficiencies,Medium,biased review,Coding,,,,,
427,https://cwe.mitre.org/data/definitions/427,Uncontrolled Search Path Element,Keagan,A location in the path used to find or access a resource can be tampered with by attackers.,"Proper measures to ensure the elements of a path are controlled are not implemented. For example, using the environment variable PATH to find and execute a program, however that variable can be altered by attackers, therefore the program should only accept explicit paths.",,"execute unauthorized code, execute unauthorized commands","attack surface reduction, automated static analysis",Input Validation and Representation,rule deficiencies,High,poor tools,Low,,,rule deficiencies,Coding,,,,,
1068,https://cwe.mitre.org/data/definitions/1068,Inconsistency Between Implementation and Documented Design,Keagan,The implementation of the product is not consistent with the design as described within the relevant documentation.,"Developers may have interpreted the design documentation in a way that was different than the intended interpretation. Adding on to that, it is possible that during development, new challenges arose and thus the implementation or methods changed however, the design documents were not changed in correspondence. However, if it assumed that there was clear communication, then it would just have to do with incorrect/inaccurate implementation.",,,,Code Quality,miscommunication,Medium,rule deficiencies,Low,,,miscommunication,Coding,,,,,
940,https://cwe.mitre.org/data/definitions/940,Improper Verification of Source of a Communication Channel,Keagan,"A communication channel to handle a user request is established, but it does not verify that the request is coming from where it is supposed to be coming from.","May arise from validating user input inadequately or omitting an origin check. 

Less dominant: Additionally, it is possible that this kind of vulnerability is never discovered due to developers not running enough test cases or considering this exception.",,"gain privileges, bypass protection mechanism",identity validation,API Abuse,rule deficiencies,Medium,biased review,Low,,,,Coding,,,,,
191,https://cwe.mitre.org/data/definitions/191,Integer Underflow (Wrap or Wraparound),Keagan,An incorrect value is produced when a calculation/operation results in a value less than the minimum allowed integer value. Can occur when using signed and unsigned integers.,"Outside of programming, humans are used to being able to span all negative integers, rather than having a capped maximum value like in programming. Developers should be checking the return value of the calculation to make sure it is within the values they expect, however they omit this or do so inadequately. ",,"system crash, system restart, resource consumption, modify memory, execute unauthorized code, bypass protection mechanism","numeric errors, automated static analysis",Input Validation and Representation,strong now wrong,Low,biased review,Low,confirmation bias,Low,,Coding,,,,,
378,https://cwe.mitre.org/data/definitions/378,Creation of Temporary File with Insecure Permissions,Keagan,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack","Developers inadequately utilize safe functions in creating temporary files, make sure it’s permissions are controlled, and take the proper precautions to ensure the file created won’t alter other parts of the program harmfully. 

More dominant: Developers are just unaware of which functions used in creating a temporary file are unsafe.",,"read application data, authentication, integrity",safe temp file function,Time and State,unknown,High,rule deficiencies,Low,lack of knowledge,Low,lack of knowledge,Coding,,,,,
277,https://cwe.mitre.org/data/definitions/277,Insecure Inherited Permissions,Keagan,Program creates objects that inherit the insecure permissions defined within other part of the program / product.,"More dominant: Developers lack knowledge about safer/better practices such as assigning permissions on an object-by-object basis rather than having them inherit permissions, that they may not need or may be unsafe for them to have.

Less Dominant: Requirements may fail to properly establish what permissions are necessary and make sure that they ensure the safety of the program.",,"read application data, modify application data",separation of privileges,Encapsulation,security culture,Low,rule deficiencies,Low,unknown,High,lack of knowledge,Coding,,,,,
1087,https://cwe.mitre.org/data/definitions/1087,Class With Virtual Method w/o a Virtual Destructor,Keagan,Class containing a virtual method does not have a virtual destructor associated with it resulting in undefined behavior that might become vulnerable if discovered my malicious actors.,"More dominant: The implementer didn’t know a virtual method needs a virtual destructor.

Less Dominant: Their implementation of the destructor was incorrect or assigning type of method was wrong. ",,reduce reliability,automated static analysis,Code Quality,lack of knowledge,Medium,unknown,High,,,lack of knowledge,Coding,,,,,
1115,https://cwe.mitre.org/data/definitions/1115,Source Code Element w/o Standard Prologue,Keagan,Source code contains elements such as files that don’t have any documentation explaining them or headers that aren’t standardized for being used within the program/product.,"A lack of documentation explaining parts of code, how they work, why they work, and any possible drawbacks to be aware of. Thus, if the documentation or explanation was more clearly communicated it would improve the safety of the product, and time taken to find/fix/prevent vulnerabilities. Should be required for code to have proper comments, especially if they aren’t commonly used within a given project, etc. however that is not specified.",,,,Code Quality,miscommunication,Medium,security culture,Low,,,miscommunication,Design,,,,,
272,https://cwe.mitre.org/data/definitions/272,Least Privledge Violation,Keagan,Elevated privledge levels granted to perform certain operations aren't dropped immediatly after operation is done.,"The developer may forget to restrict the privledges once the operations that needed the privledges have been performed or may do them at a later time rather than immediatly, leaving the app open to malicious attacks.",,"gain privileges, read application data, read files, read directories",separation of privileges,Security Features,post completion,High,,,,,rule deficiencies,Coding,,,,,
1109,https://cwe.mitre.org/data/definitions/1109,Use of Same Variable for Multiple Purposes,Keagan,"Code element in which same variable is used for multiple purposes. May make code unsafe, harder to read, and thus more susceptible to attacks.","Developer may name multiple variables the same and thus access one when they really mean to access the other, etc. Programmer may also think that a certain variable hasn't been used yet or doesn't need the data it's storing anymore and mistakenly overwrite it.",,,,Code Quality,perceptual confusion,Medium,rule deficiencies,Low,,,complexity,Coding,,,,,
770,https://cwe.mitre.org/data/definitions/770,Allocation of Resources Without Limits or Throttling,Keagan,Product allocates a resource without having any limits on the size or number of resources allocated allowing for the possibility of resources to be overconsumed.,"The amount of resources avaliable, and or how many should be allocated to certain users / certain tasks is not limited or specified in the documentation.

More dominant: Developers may not consider the scale of their work, and what would happen if large amount of users use the app or user inputs certain very large inputs requiring lots of resources. Ex: Not capping number of connections in client-server program",,resource consumption,"input validation, resource limitation",,security culture,Medium,lack of review,Low,,,biased review,Design,,,,,
1100,https://cwe.mitre.org/data/definitions/1100,Insufficient Isolation of System-Dependent Functions,Keagan,"""The product or code does not isolate system-dependent functionality into separate standalone modules. "" Indirectly affects security as it may make vulnerabilities harder to find in code, or allow them to spread more easily.","More dominant: Developers may have challenges grasping the functionality of what they are building and how to break it down into smaller compartamentalized parts. 

Clear direction may also be lacked in the specification or documentation for the product making it easier to confuse how to isolate functional components.",,reduce maintainability,encapsulation,Encapsulation,complexity,Medium,unknown,Medium,,,lack of knowledge,Design,,,,,
766,https://cwe.mitre.org/data/definitions/766,Critcal Data Element Declared Public,Keagan,"""The product declares a critical variable, field, or member to be public when intended security policy requires it to be private. ""","Developers may engage in bad coding practices such as declaring all variables as public for testing or development reasons, but forget to change them back. ",,"read application data, reduce maintainability","encapsulation, permissions",Encapsulation,rule deficiencies,High,miscommunication,Low,,,post completion,Coding,,,,,
253,https://cwe.mitre.org/data/definitions/253,Incorrect or Absent Check of Function Return Value,Keagan,Function return value isn't checked properly leaving possible errors or exceptions undetected.,"Developers may not understand that certain functions return, what their return values mean, or may assume the function will always return the same thing so there is no reason to check the value. Programmers may also forget completly to check a return value.",,"unexpected state, system crash, system restart","language selection, function design, automated static analysis",Errors,post completion,Medium,lack of knowledge,Low,rule deficiencies,Medium,,Coding,,,,,
89,https://cwe.mitre.org/data/definitions/89,Improper Neutralization of Special Elements used in SQL Command ('SQL Injection'),Keagan,Product contains code that utilizes SQL with externally / user influenced input but it does not handle special elements that could modify the SQL command before being executed.,"Developer may utilize unsafe SQL commands (unparameterized), or does not properly validate input that may affect the SQL commands being run. Testing done on the product does not consider potentially harmful inputs or their affects.",,"execute unauthorized code, read application data, gain privileges, bypass protection mechanism, modify application data","libraries, frameworks, parameterization, environment hardening, input validation, firewall, output validation",Input Validation and Representation,rule deficiencies,Medium,biased review,Low,,,biased review,Coding,,,,,
425,https://cwe.mitre.org/data/definitions/425,Direct Request 'Forced Browsing',Keagan,"Appropriate authorization not sufficiently enforced for restricted URLs, scripts, or files. Essentially pages or files that should only be accessed by users with certain privledges but can be accessed by inputting a certain URL directly.",Developers may assume certain resources are only reachable a certain way and so only do authorization checks at a few points rather than all possible points.,,"read application data, execute unauthorized code, gain privileges","mvc frameworks, access control",API Abuse,biased review,High,rule deficiencies,Low,,,selectivity,Review,,,,,
209,https://cwe.mitre.org/data/definitions/209,Generation of Error Message Containing Sensitive Information,Keagan,"Product generates an error message either via the source code or an external handler that reveals directly sensitive information or information for futher attacks. Catching exceptions and printing the error is often considered best practice and useful for debugging, however it may sometimes reveal too much information."," Developers may forget to alter the error messages before releasing the product. 

More dominant: Developers conduct testing, and look at these error messages but don't consider how the information could be used for further attacks, possibly because they lack knowledge about attacks.",,read application data,"attack surface reduction, compilation hardening, default error pages,",Code Quality,biased review,Medium,rule deficiencies,Medium,lack of knowledge,Low,biased review,Coding,,,,,
94,https://cwe.mitre.org/data/definitions/94,Improper Control of Generation of Code ('Code Injection'),Keagan,Product uses some code that is dependent / affected by external inputs without making sure that the input won't modify the manner in which the code is run.,"Stems from developers not adequately sanitizing the external input that will be used in their code, and using particularly dangerous / exploitable functions such as eval ... However, these should be caught in the review phase if the testing team ran adequate tests and considered cases in which users input code directly.",,"bypass protection mechanism, gain privileges, execute unauthorized code","input validation, compilation hardening, neutralization",Input Validation and Representation,biased review,Medium,rule deficiencies,Low,,,biased review,Coding,,,,,
346,https://cwe.mitre.org/data/definitions/346,Origin Validation Error,Keagan,"""The product does not properly verify that the source of data or communication is valid. ""","Developer does not correctly implement validation methods necessary, maybe because they are unaware of when the data they are communicating could potentially be vulnerable.",,gain privileges,data verification,API Abuse,rule deficiencies,Medium,lack of knowledge,Low,,,rule deficiencies,Coding,,,,,
783,https://cwe.mitre.org/data/definitions/783,Operator Precedence Logic Error,Keagan,"""The product uses an expression in which operator precedence causes incorrect logic to be used.""","Most often caused by developers just forgetting or misplacing parenthesis when doing critical calculations. 

Less dominant: Variation in operator precedence across programming languages attributing to programmers implementing incorrect logic in one language that may be correct if written in another language",,unexpected state,automated static analysis,Code Quality,rule deficiencies,Medium,lack of knowledge,Low,operating environment,Low,perceptual confusion,Coding,,,,,
489,https://cwe.mitre.org/data/definitions/489,Active Debug Code,Keagan,Product is deployed / released while debugging code is still active. This debugging code allows for attackers to access sensitive information or reach certain areas they shouldn't normally,"Most likely stems from the team running tests with the debug code to ensure everything is working, however they never run testing from the users point of view. 

More dominant: Removing debug code may be the last step before releasing the product, and it is possible some code slips through the cracks / the team forgets to remove the code",,"bypass protection mechanism, read application data, gain privileges",bad coding practices,Encapsulation,post completion,High,lack of review,Low,,,post completion,Review,,,,,
939,https://cwe.mitre.org/data/definitions/939,Improper Authorization in Handler for Custom URL Scheme,Keagan,"Vulnerability only present in Mobile Development: A URL scheme is what defines which URLs direct to your app and the context in which they load the app. Product uses a handler for a URL scheme but allows the handler to be accessed via URL scheme by unauthorized people. Also the URL scheme is used for critical tasks such as modifying files, or can be used to alter the code.","Seems like URL schemes while useful for referencing resources, and communicating with apps are inherently flawed and unsafe. However, there are stilll workarounds like validating the URL parameters, and limiting actions that can be performed via the handler for URL schemes, that developers should be aware of.",,"gain privileges, bypass protection mechanism",authentication,Input Validation and Representation,security culture,Low,misused tools,Low,rule deficiencies,Low,,Coding,,,,,
653,https://cwe.mitre.org/data/definitions/653,Improper Isolation or Compartmentalization,Keagan,"""The product does not properly compartmentalize or isolate functionality, processes, or resources that require different privilege levels, rights, or permissions""","All of those things mentioned in the description should be clearly defined within the security requirements so that implementation is clear and easy to break down into parts. 

More dominant: A product may be overlycomplex, making it harder for developers to break down the functionality into multiple parts, especially if they all work closely together.",,"gain privileges, bypass protection mechanism",automated static analysis,Encapsulation,security culture,High,complexity,Low,,,,Design,,,,,
1119,https://cwe.mitre.org/data/definitions/1119,Excessive Use of Unconditional Branching,Theo,"The code uses too many unconditional branches (such as ""goto"").","The developer uses multiple goto statements to avoid refactoring code. This might occur in a function with preexisting control flow complexity, e.g. nested loops.",,,,Code Quality,selectivity,High,,,,,complexity,Coding,,,,,
663,https://cwe.mitre.org/data/definitions/663,Use of a Non-reentrant Function in a Concurrent Context,Theo,The program calls a non-reentrant function in a concurrent context in which a competing code sequence (e.g. thread or signal handler) may have an opportunity to call the same function or otherwise influence its state.,The developer does not know a particular function is non-reentrant or does not have proper knowledge of how re-entrant functions work.,,"modify memory, read memory","reentrant functions, synchronization",Time and State,lack of knowledge,High,,,,,lack of knowledge,Coding,,,,,
289,https://cwe.mitre.org/data/definitions/289,Authentication Bypass by Alternate Name,Theo,"The program performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.","URLs can be encoded in multiple ways (e.g. \ vs %5C), and if authentication is triggered by comparing the URL string, it may not account for all variations.",,bypass protection mechanism,"input validation,",Input Validation and Representation,biased review,High,,,,,,Review,,,,,
184,https://cwe.mitre.org/data/definitions/184,Incomplete List of Disallowed Inputs,Theo,"Developers often try to protect their products against malicious input by performing tests against inputs that are known to be bad, such as special characters that can invoke new commands. However, such lists often only account for the most well-known bad inputs. Attackers may be able to find other malicious inputs that were not expected by the developer, allowing them to bypass the intended protection mechanism.","Developer attempts to sanitize input (e.g. removing all occurences of “script”), but fails to account for alternate spellings",,bypass protection mechanism,input validation,Input Validation and Representation,biased review,High,,,,,biased review,Review,,,,,
483,https://cwe.mitre.org/data/definitions/483,Incorrect Block Delimitation,Theo,"In some languages, braces (or other delimiters) are optional for blocks. When the delimiter is omitted, it is possible to insert a logic error in which a statement is thought to be in a block but is not. In some cases, the logic error can have security implications.","A developer types the code:
If (condition)
Do_X()
Do_Y()

Assuming Do_Y() is executed conditionally, but it is not.",,alter execution logic,automated static analysis,Code Quality,perceptual confusion,High,,,,,,Coding,,,,,
331,https://cwe.mitre.org/data/definitions/331,Insufficient Entropy,Theo,"The program uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others.","A developer uses a pseudo random number generator to create a unique ID for users, instead of a cryptographically secure one, giving a fair amount of predictive power to an attacker.",,bypass protection mechanism,entropy,Security Features,lack of knowledge,High,,,,,lack of knowledge,Design,,,,,
656,https://cwe.mitre.org/data/definitions/656,Reliance on Security Through Obscurity,Theo,"The program uses a protection mechanism whose strength depends heavily on its obscurity, such that knowledge of its algorithms or key data is sufficient to defeat the mechanism.","The reliance on ""security through obscurity"" can produce resultant weaknesses if an attacker is able to reverse engineer the inner workings of the mechanism. Note that obscurity can be one small part of defense in depth, since it can create more work for an attacker; however, it is a significant risk if used as the primary means of protection.",,integrity,"bad coding practices, secure design principles",Security Features,overconfidence,High,,,,,security culture,Design,,,,,
909,https://cwe.mitre.org/data/definitions/909,Missing Initialization of Resource,Theo,The program does not initialize a critical resource.,"Many resources require initialization before they can be properly used. If a resource is not initialized, it could contain unpredictable or expired data, or it could be initialized to defaults that are invalid. This can have security implications when the resource is expected to have certain properties or values.",,"read memory, system crash, system restart","proper initialization, resource management",Code Quality,selectivity,High,,,,,rule deficiencies,Design,,,,,
319,https://cwe.mitre.org/data/definitions/319,Cleartext Transmission of Sensitive Information,Theo,The program transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,The developer transmits user credentials using HTTP.,,"read application data, modify files, modify directories",encryption,Security Features,lack of knowledge,High,,,,,lack of knowledge,Design,,,,,
1123,https://cwe.mitre.org/data/definitions/1123,Excessive Use of Self-Modifying Code,Theo,"This issue makes it more difficult to understand or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Self-modifying code may be used to extend functionality of existing code, or to condense variable type of functionality into a smaller design.
The alternative would be refactoring the code or using higher level design patterns like polymorphism.",,"reduce maintainability, increase analytical complexity",excessive code complexity,Code Quality,lack of knowledge,High,,,,,,Coding,,,,,
348,https://cwe.mitre.org/data/definitions/348,Use of Less Trusted Source,Theo,"The program has two different sources of the same data or information, but it uses the source that has less support for verification, is less trusted, or is less resistant to attack.","The developer checks the IP address specified by the user instead of the packet header, allowing for IP spoofing.",,"bypass protection mechanism, gain privileges",data verification,Input Validation and Representation,lack of knowledge,Low,selectivity,Low,,,,Design,,,,,
407,https://cwe.mitre.org/data/definitions/407,Use of Externally-Controlled Input to Select Classes or Code,Theo,"The program uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code.","The developer has a function that constructs a class instance from a classname string, not realizing this can be exploited by an attacker.",,resource consumption,inefficient regular expression complexity,Input Validation and Representation,biased review,High,,,,,lack of knowledge,Review,,,,,
354,https://cwe.mitre.org/data/definitions/354,Improper Validation of Integrity Check Value,Theo,"The program does not validate or incorrectly validates the integrity check values or ""checksums"" of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.",The developer implements the checksum verification algorithm incorrectly.,,"modify application data, integrity",data verification,Input Validation and Representation,biased review,High,,,,,rule deficiencies,Review,,,,,
186,https://cwe.mitre.org/data/definitions/186,Overly Restrictive Regular Expression,Theo,"A regular expression is overly restrictive, which prevents dangerous values from being detected.",The developer considers a specific input that should be invalidated but does not exhaustively consider all possibilities.,,bypass protection mechanism,incorrect regular expression,Input Validation and Representation,biased review,High,,,,,biased review,Review,,,,,
562,https://cwe.mitre.org/data/definitions/562,Return of Stack Variable Address,Theo,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",Mistaken for a different type of variable e.g. (pointer).,,"read memory, modify memory, execute unauthorized code, system crash, system restart",bad coding practices,Code Quality,perceptual confusion,High,,,,,rule deficiencies,Coding,,,,,
223,https://cwe.mitre.org/data/definitions/223,Omission of Security-relevant Information,Theo,"The program does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe.","Incomplete understanding of/no conception of task.
Developer is unaware what information to log for security analysis or believes existing reporting is sufficient.
",,unknown system attacks,"audit, logging",Security Features,lack of knowledge,High,,,,,,Design,,,,,
640,https://cwe.mitre.org/data/definitions/640,Weak Password Recovery Mechanism for Forgotten Password,Theo,"The program contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak.","Incomplete understanding of goal.
Developer prioritizes the implementation of the account recovery process over the security mechanisms.",,"gain privileges, resource consumption",authentication,Security Features,selectivity,Medium,lack of knowledge,Low,,,,Design,,,,,
414,https://cwe.mitre.org/data/definitions/414,Missing Lock Check,Theo,The program does not check to see if a lock is present before performing sensitive operations on a resource.,Mistaking atomic variable for non-atomic variable (unlikely). Developer has an incomplete understanding of the rule involved for atomic variable accesses (more likely).,,"system crash, system restart, modify application data",resource locking,Time and State,perceptual confusion,Low,rule deficiencies,Medium,,,lack of knowledge,Coding,,,,,
606,https://cwe.mitre.org/data/definitions/606,Unchecked Input for Loop Condition,Theo,"The program does not properly check inputs that are used for loop conditions, potentially leading to a denial of service or other consequences because of excessive looping.",The developer believes that all attack scenarios have been addressed.,,resource consumption,"data validation, automated static analysis",Input Validation and Representation,biased review,High,,,,,biased review,Coding,,,,,
170,https://cwe.mitre.org/data/definitions/170,Improper Null Termination,Theo,The program does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.,"When constructing a string, the developer forgets the last step to append a null character.",,"system crash, system restart, alter execution logic, read memory, modify memory",neutralization,Code Quality,post completion,High,,,,,post completion,Coding,,,,,
825,https://cwe.mitre.org/data/definitions/825,Expired Pointer Dereference,Theo,"The program dereferences a pointer that contains a location for memory that was previously valid, but is no longer valid.","The developer is not aware of the location where the memory becomes invalidated.
The developer uses existing methods to manipulate the pointer, but these no longer work in the new context.",,"read memory, system crash, system restart, execute unauthorized code",pointer issues,Code Quality,perceptual confusion,Medium,strong now wrong,Low,,,,Coding,,,,,
841,https://cwe.mitre.org/data/definitions/841,Improper Enforcement of Behavioral Workflow,Theo,"The program supports a session in which more than one behavior must be performed by an actor, but it does not properly ensure that the actor performs the behaviors in the required sequence.",The developer does not understand the significance of the ordering of certain logic.,,alter execution logic,control flow management,Time and State,lack of knowledge,High,,,,,,Design,,,,,
79,https://cwe.mitre.org/data/definitions/79,Improper Neutralization of Input During Web Page Generation,Marvin,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,This happens when a developer implementing some form of content display fails to validate that external/user-generated content to be safe. ,,"bypass protection mechanism, execute unauthorized code, read application data","output encoding, input validation, firewall, environment hardening",Input Validation and Representation,biased review,Medium,biased review,Low,,,biased review,Coding,,,,,
